Species,Group
Species_01,Group1
Species_02,Group1
Species_03,Group1
Species_04,Group1
Species_05,Group1
Species_06,Group1
Species_07,Group1
Species_08,Group1
Species_09,Group1
Species_10,Group1
Species_11,Group2
Species_12,Group2
Species_13,Group2
Species_14,Group2
Species_15,Group2
Species_16,Group2
Species_17,Group2
Species_18,Group2
Species_19,Group3
Species_20,Group3
Species_21,Group3
Species_22,Group3
Species_23,Group3
Species_24,Group4
Species_25,Group4
Species_26,Group4
Species_27,Group4
Species_28,Group4
Species_29,Group5
Species_30,Group5
Species_31,Group5
Species_32,Group5
Species_33,Group6
Species_34,Group6
Species_35,Group6
Species_36,Group6
Species_37,Group6
Species_38,Group6
Species_39,Group6
Species_40,Group6
